date,itemname,packunits,expiry,price,looseqty
01/07/2022,PANADOL TAB,200,4/25/24,10.2,60
02/07/2022,PANADOL TAB,200,4/25/24,8.5,70
03/07/2022,PANADOL TAB,200,4/25/24,8.5,55
05/07/2022,PANADOL TAB,200,4/25/24,1.45,20
08/07/2022,PANADOL TAB,200,4/25/24,13.6,70
09/07/2022,PANADOL TAB,200,5/24/24,25.5,200
10/07/2022,PANADOL TAB,200,5/24/24,23.8,134
11/07/2022,PANADOL TAB,200,5/24/24,20.4,98
12/07/2022,PANADOL TAB,200,5/24/24,30.6,186
13/07/2022,PANADOL TAB,200,5/24/24,22.1,140
14/07/2022,PANADOL TAB,200,5/24/24,22.1,142
15/07/2022,PANADOL TAB,200,5/24/24,30.6,182
16/07/2022,PANADOL TAB,200,5/24/24,37.4,240
17/07/2022,PANADOL TAB,200,5/24/24,28.9,191
18/07/2022,PANADOL TAB,200,5/24/24,35.7,260
19/07/2022,PANADOL TAB,200,5/24/24,37.4,209
20/07/2022,PANADOL TAB,200,5/25/24,32.3,214
21/07/2022,PANADOL TAB,200,5/25/24,20.4,122
22/07/2022,PANADOL TAB,200,5/25/24,8.5,70
23/07/2022,PANADOL TAB,200,5/25/24,30.6,156
24/07/2022,PANADOL TAB,200,5/25/24,18.7,102
25/07/2022,PANADOL TAB,200,5/25/24,27.2,145
26/07/2022,PANADOL TAB,200,5/25/24,10.2,59
27/07/2022,PANADOL TAB,200,5/25/24,8.5,80
28/07/2022,PANADOL TAB,200,5/25/24,11.4,57
29/07/2022,PANADOL TAB,200,6/1/24,44.2,212
30/07/2022,PANADOL TAB,200,6/1/24,88.39999999999999,426
31/07/2022,PANADOL TAB,200,6/1/24,71.39999999999999,333
01/08/2022,PANADOL TAB,200,6/1/24,69.7,372
02/08/2022,PANADOL TAB,200,6/1/24,96.9,494
03/08/2022,PANADOL TAB,200,6/1/24,54.4,291
04/08/2022,PANADOL TAB,200,6/1/24,64.6,329
05/08/2022,PANADOL TAB,200,6/1/24,47.6,339
06/08/2022,PANADOL TAB,200,6/1/24,64.6,587
07/08/2022,PANADOL TAB,200,6/1/24,68.0,404
08/08/2022,PANADOL TAB,200,6/1/24,47.6,307
09/08/2022,PANADOL TAB,200,6/1/24,52.7,342
10/08/2022,PANADOL TAB,200,6/1/24,61.2,426
11/08/2022,PANADOL TAB,200,6/1/24,30.6,196
12/08/2022,PANADOL TAB,200,6/1/24,61.2,342
13/08/2022,PANADOL TAB,200,6/1/24,49.3,373
14/08/2022,PANADOL TAB,200,6/1/24,25.5,150
15/08/2022,PANADOL TAB,200,6/1/24,51.0,366
16/08/2022,PANADOL TAB,200,6/1/24,59.5,336
17/08/2022,PANADOL TAB,200,6/1/24,59.25,311
18/08/2022,PANADOL TAB,200,6/1/24,85.0,515
19/08/2022,PANADOL TAB,200,6/1/24,79.89999999999999,470
20/08/2022,PANADOL TAB,200,6/1/24,51.0,351
21/08/2022,PANADOL TAB,200,6/1/24,52.7,298
22/08/2022,PANADOL TAB,200,6/1/24,52.7,379
23/08/2022,PANADOL TAB,200,6/1/24,50.75,371
24/08/2022,PANADOL TAB,200,6/1/24,54.4,359
25/08/2022,PANADOL TAB,200,6/1/24,56.1,326
26/08/2022,PANADOL TAB,200,6/1/24,45.9,276
27/08/2022,PANADOL TAB,200,6/1/24,66.05,353
28/08/2022,PANADOL TAB,200,6/1/24,72.7,626
29/08/2022,PANADOL TAB,200,6/1/24,76.5,525
30/08/2022,PANADOL TAB,200,6/19/24,79.89999999999999,411
31/08/2022,PANADOL TAB,200,6/19/24,73.1,498
01/09/2022,PANADOL TAB,200,6/19/24,45.9,322
02/09/2022,PANADOL TAB,200,6/19/24,74.8,476
03/09/2022,PANADOL TAB,200,6/22/24,64.6,486
04/09/2022,PANADOL TAB,200,6/22/24,113.9,637
05/09/2022,PANADOL TAB,200,6/22/24,119.0,557
06/09/2022,PANADOL TAB,200,6/27/24,49.3,350
07/09/2022,PANADOL TAB,200,6/27/24,34.0,413
08/09/2022,PANADOL TAB,200,6/27/24,51.0,375
09/09/2022,PANADOL TAB,200,6/27/24,8.0,50
11/09/2022,PANADOL TAB,200,6/27/24,1.7,30
12/09/2022,PANADOL TAB,200,6/27/24,10.2,310
13/09/2022,PANADOL TAB,200,6/27/24,8.5,70
14/09/2022,PANADOL TAB,200,6/27/24,8.25,56
15/09/2022,PANADOL TAB,200,6/27/24,1.7,50
16/09/2022,PANADOL TAB,200,6/27/24,10.2,140
17/09/2022,PANADOL TAB,200,6/27/24,15.3,190
18/09/2022,PANADOL TAB,200,6/27/24,11.9,110
19/09/2022,PANADOL TAB,200,6/27/24,6.8,44
20/09/2022,PANADOL TAB,200,6/27/24,10.2,60
21/09/2022,PANADOL TAB,200,6/27/24,20.15,102
