date,itemname,packunits,expiry,price,looseqty
01/07/2022,PANADOL TAB,200,4/25/24,1.7,60
02/07/2022,PANADOL TAB,200,4/25/24,1.7,70
03/07/2022,PANADOL TAB,200,4/25/24,1.7,55
05/07/2022,PANADOL TAB,200,4/25/24,1.45,20
08/07/2022,PANADOL TAB,200,4/25/24,1.7,70
09/07/2022,PANADOL TAB,200,5/24/24,1.7,200
10/07/2022,PANADOL TAB,200,5/24/24,1.7,134
11/07/2022,PANADOL TAB,200,5/24/24,1.7,98
12/07/2022,PANADOL TAB,200,5/24/24,1.7,186
13/07/2022,PANADOL TAB,200,5/24/24,1.7,140
14/07/2022,PANADOL TAB,200,5/24/24,1.7,142
15/07/2022,PANADOL TAB,200,5/24/24,1.7,182
16/07/2022,PANADOL TAB,200,5/24/24,1.7,240
17/07/2022,PANADOL TAB,200,5/24/24,1.7,191
18/07/2022,PANADOL TAB,200,5/24/24,1.7,260
19/07/2022,PANADOL TAB,200,5/24/24,1.7,209
20/07/2022,PANADOL TAB,200,5/25/24,1.7,214
21/07/2022,PANADOL TAB,200,5/25/24,1.7,122
22/07/2022,PANADOL TAB,200,5/25/24,1.7,70
23/07/2022,PANADOL TAB,200,5/25/24,1.7,156
24/07/2022,PANADOL TAB,200,5/25/24,1.7,102
25/07/2022,PANADOL TAB,200,5/25/24,1.7,145
26/07/2022,PANADOL TAB,200,5/25/24,1.7,59
27/07/2022,PANADOL TAB,200,5/25/24,1.7,80
28/07/2022,PANADOL TAB,200,5/25/24,1.7,57
29/07/2022,PANADOL TAB,200,6/1/24,1.7,212
30/07/2022,PANADOL TAB,200,6/1/24,1.7,426
31/07/2022,PANADOL TAB,200,6/1/24,1.7,333
01/08/2022,PANADOL TAB,200,6/1/24,1.7,372
02/08/2022,PANADOL TAB,200,6/1/24,1.7,494
03/08/2022,PANADOL TAB,200,6/1/24,1.7,291
04/08/2022,PANADOL TAB,200,6/1/24,1.7,329
05/08/2022,PANADOL TAB,200,6/1/24,1.7,339
06/08/2022,PANADOL TAB,200,6/1/24,1.7,587
07/08/2022,PANADOL TAB,200,6/1/24,1.7,404
08/08/2022,PANADOL TAB,200,6/1/24,1.7,307
09/08/2022,PANADOL TAB,200,6/1/24,1.7,342
10/08/2022,PANADOL TAB,200,6/1/24,1.7,426
11/08/2022,PANADOL TAB,200,6/1/24,1.7,196
12/08/2022,PANADOL TAB,200,6/1/24,1.7,342
13/08/2022,PANADOL TAB,200,6/1/24,1.7,373
14/08/2022,PANADOL TAB,200,6/1/24,1.7,150
15/08/2022,PANADOL TAB,200,6/1/24,1.7,366
16/08/2022,PANADOL TAB,200,6/1/24,1.7,336
17/08/2022,PANADOL TAB,200,6/1/24,1.7,311
18/08/2022,PANADOL TAB,200,6/1/24,1.7,515
19/08/2022,PANADOL TAB,200,6/1/24,1.7,470
20/08/2022,PANADOL TAB,200,6/1/24,1.7,351
21/08/2022,PANADOL TAB,200,6/1/24,1.7,298
22/08/2022,PANADOL TAB,200,6/1/24,1.7,379
23/08/2022,PANADOL TAB,200,6/1/24,1.7,371
24/08/2022,PANADOL TAB,200,6/1/24,1.7,359
25/08/2022,PANADOL TAB,200,6/1/24,1.7,326
26/08/2022,PANADOL TAB,200,6/1/24,1.7,276
27/08/2022,PANADOL TAB,200,6/1/24,1.7,353
28/08/2022,PANADOL TAB,200,6/1/24,3.0,626
29/08/2022,PANADOL TAB,200,6/1/24,1.7,525
30/08/2022,PANADOL TAB,200,6/19/24,1.7,411
31/08/2022,PANADOL TAB,200,6/19/24,1.7,498
01/09/2022,PANADOL TAB,200,6/19/24,1.7,322
02/09/2022,PANADOL TAB,200,6/19/24,1.7,476
03/09/2022,PANADOL TAB,200,6/22/24,1.7,486
04/09/2022,PANADOL TAB,200,6/22/24,1.7,637
05/09/2022,PANADOL TAB,200,6/22/24,1.7,557
06/09/2022,PANADOL TAB,200,6/27/24,1.7,350
07/09/2022,PANADOL TAB,200,6/27/24,1.7,413
08/09/2022,PANADOL TAB,200,6/27/24,1.7,375
09/09/2022,PANADOL TAB,200,6/27/24,1.45,50
11/09/2022,PANADOL TAB,200,6/27/24,1.7,30
12/09/2022,PANADOL TAB,200,6/27/24,1.7,310
13/09/2022,PANADOL TAB,200,6/27/24,1.7,70
14/09/2022,PANADOL TAB,200,6/27/24,1.7,56
15/09/2022,PANADOL TAB,200,6/27/24,1.7,50
16/09/2022,PANADOL TAB,200,6/27/24,1.7,140
17/09/2022,PANADOL TAB,200,6/27/24,1.7,190
18/09/2022,PANADOL TAB,200,6/27/24,1.7,110
19/09/2022,PANADOL TAB,200,6/27/24,1.7,44
20/09/2022,PANADOL TAB,200,6/27/24,1.7,60
21/09/2022,PANADOL TAB,200,6/27/24,1.7,102
22/09/2022,PANADOL TAB,200,7/4/24,1.7,112
23/09/2022,PANADOL TAB,200,7/4/24,1.7,112
24/09/2022,PANADOL TAB,200,7/4/24,1.7,82
25/09/2022,PANADOL TAB,200,7/4/24,1.7,40
26/09/2022,PANADOL TAB,200,7/4/24,1.7,100
27/09/2022,PANADOL TAB,200,7/4/24,1.7,60
28/09/2022,PANADOL TAB,200,7/4/24,1.7,80
29/09/2022,PANADOL TAB,200,7/4/24,1.7,52
30/09/2022,PANADOL TAB,200,7/15/24,1.7,440
01/10/2022,PANADOL TAB,200,7/15/24,1.87,70
02/10/2022,PANADOL TAB,200,7/15/24,1.87,210
03/10/2022,PANADOL TAB,200,12/12/24,1.87,145
04/10/2022,PANADOL TAB,200,12/12/24,1.87,82
05/10/2022,PANADOL TAB,200,12/12/24,1.87,82
06/10/2022,PANADOL TAB,200,12/12/24,1.87,49
07/10/2022,PANADOL TAB,200,8/8/24,1.87,75
08/10/2022,PANADOL TAB,200,8/8/24,1.87,80
09/10/2022,PANADOL TAB,200,8/8/24,1.87,80
10/10/2022,PANADOL TAB,200,8/8/24,1.87,112
11/10/2022,PANADOL TAB,200,8/8/24,1.87,40
12/10/2022,PANADOL TAB,200,12/12/24,1.87,61
16/10/2022,PANADOL TAB,200,12/12/24,1.87,20
19/10/2022,PANADOL TAB,200,12/12/24,1.59,138
21/10/2022,PANADOL TAB,200,8/24/24,1.87,80
22/10/2022,PANADOL TAB,200,8/24/24,1.87,160
23/10/2022,PANADOL TAB,200,8/24/24,1.87,146
24/10/2022,PANADOL TAB,200,8/24/24,1.87,150
25/10/2022,PANADOL TAB,200,8/24/24,1.87,44
26/10/2022,PANADOL TAB,200,8/24/24,1.87,40
27/10/2022,PANADOL TAB,200,8/24/24,1.87,30
28/10/2022,PANADOL TAB,200,8/24/24,1.87,292
29/10/2022,PANADOL TAB,200,12/12/24,1.87,140
30/10/2022,PANADOL TAB,200,12/12/24,1.87,340
01/11/2022,PANADOL TAB,200,12/12/24,1.87,16
02/11/2022,PANADOL TAB,200,12/12/24,1.87,40
03/11/2022,PANADOL TAB,200,12/12/24,1.59,40
05/11/2022,PANADOL TAB,200,12/12/24,1.87,30
06/11/2022,PANADOL TAB,200,12/12/24,1.59,4
15/11/2022,PANADOL TAB,200,12/12/24,7.0,10
19/11/2022,PANADOL TAB,200,9/16/24,7.0,50
20/11/2022,PANADOL TAB,200,9/16/24,1.87,110
21/11/2022,PANADOL TAB,200,9/16/24,1.87,70
22/11/2022,PANADOL TAB,200,9/16/24,1.87,40
23/11/2022,PANADOL TAB,200,9/16/24,1.87,32
24/11/2022,PANADOL TAB,200,9/16/24,1.87,30
25/11/2022,PANADOL TAB,200,9/16/24,1.87,70
26/11/2022,PANADOL TAB,200,9/16/24,1.87,122
27/11/2022,PANADOL TAB,200,9/16/24,1.87,34
29/11/2022,PANADOL TAB,200,9/16/24,7.0,200
30/11/2022,PANADOL TAB,200,9/17/24,2.37,41
01/12/2022,PANADOL TAB,200,9/17/24,2.37,60
02/12/2022,PANADOL TAB,200,9/17/24,2.37,189
03/12/2022,PANADOL TAB,200,9/17/24,2.35,172
04/12/2022,PANADOL TAB,200,12/12/24,2.35,120
05/12/2022,PANADOL TAB,200,12/12/24,2.35,40
06/12/2022,PANADOL TAB,200,12/12/24,2.35,106
07/12/2022,PANADOL TAB,200,12/12/24,2.35,112
08/12/2022,PANADOL TAB,200,12/12/24,2.35,10
09/12/2022,PANADOL TAB,200,10/17/24,2.35,54
10/12/2022,PANADOL TAB,200,10/17/24,2.35,197
11/12/2022,PANADOL TAB,200,10/17/24,2.35,50
12/12/2022,PANADOL TAB,200,10/17/24,2.35,195
13/12/2022,PANADOL TAB,200,10/17/24,2.35,60
14/12/2022,PANADOL TAB,200,10/17/24,2.35,136
15/12/2022,PANADOL TAB,200,10/17/24,2.35,80
16/12/2022,PANADOL TAB,200,10/17/24,2.35,82
17/12/2022,PANADOL TAB,200,10/1/24,2.35,122
18/12/2022,PANADOL TAB,200,10/1/24,2.35,80
19/12/2022,PANADOL TAB,200,10/1/24,2.35,259
20/12/2022,PANADOL TAB,200,10/1/24,2.35,176
21/12/2022,PANADOL TAB,200,10/1/24,2.35,138
22/12/2022,PANADOL TAB,200,10/1/24,2.35,230
23/12/2022,PANADOL TAB,200,10/17/24,2.0,326
24/12/2022,PANADOL TAB,200,11/2/24,2.35,154
25/12/2022,PANADOL TAB,200,11/2/24,2.35,152
26/12/2022,PANADOL TAB,200,11/2/24,2.35,129
27/12/2022,PANADOL TAB,200,11/2/24,2.35,117
28/12/2022,PANADOL TAB,200,11/2/24,2.35,160
29/12/2022,PANADOL TAB,200,11/2/24,2.0,166
30/12/2022,PANADOL TAB,200,11/2/24,2.35,185
01/01/2023,PANADOL TAB,200,11/2/24,2.35,106
02/01/2023,PANADOL TAB,200,11/2/24,2.35,222
