date,store_nbr,family,sales,onpromotion,typeholiday,dcoilwtico,day_of_week,day,month,year
2013-01-01,1,3,0.0,0,3,93.14,2,1,1,2013
2013-01-01,1,5,0.0,0,3,93.14,2,1,1,2013
2013-01-01,1,10,0.0,0,3,93.14,2,1,1,2013
2013-01-01,1,24,0.0,0,3,93.14,2,1,1,2013
2013-01-01,1,30,0.0,0,3,93.14,2,1,1,2013
2013-01-01,17,3,0.0,0,3,93.14,2,1,1,2013
2013-01-01,17,5,0.0,0,3,93.14,2,1,1,2013
2013-01-01,17,10,0.0,0,3,93.14,2,1,1,2013
2013-01-01,17,24,0.0,0,3,93.14,2,1,1,2013
2013-01-01,17,30,0.0,0,3,93.14,2,1,1,2013
2013-01-01,20,3,0.0,0,3,93.14,2,1,1,2013
2013-01-01,20,5,0.0,0,3,93.14,2,1,1,2013
2013-01-01,20,10,0.0,0,3,93.14,2,1,1,2013
2013-01-01,20,24,0.0,0,3,93.14,2,1,1,2013
2013-01-01,20,30,0.0,0,3,93.14,2,1,1,2013
2013-01-01,27,3,0.0,0,3,93.14,2,1,1,2013
2013-01-01,27,5,0.0,0,3,93.14,2,1,1,2013
2013-01-01,27,10,0.0,0,3,93.14,2,1,1,2013
2013-01-01,27,24,0.0,0,3,93.14,2,1,1,2013
2013-01-01,27,30,0.0,0,3,93.14,2,1,1,2013
2013-01-01,8,3,0.0,0,3,93.14,2,1,1,2013
2013-01-01,8,5,0.0,0,3,93.14,2,1,1,2013
2013-01-01,8,10,0.0,0,3,93.14,2,1,1,2013
2013-01-01,8,24,0.0,0,3,93.14,2,1,1,2013
2013-01-01,8,30,0.0,0,3,93.14,2,1,1,2013
2013-01-02,1,3,1091.0,0,4,93.14,3,2,1,2013
2013-01-02,1,5,470.652,0,4,93.14,3,2,1,2013
2013-01-02,1,10,246.0,0,4,93.14,3,2,1,2013
2013-01-02,1,24,369.101,0,4,93.14,3,2,1,2013
2013-01-02,1,30,0.0,0,4,93.14,3,2,1,2013
2013-01-02,17,3,1011.0,0,4,93.14,3,2,1,2013
2013-01-02,17,5,282.0,0,4,93.14,3,2,1,2013
2013-01-02,17,10,139.0,0,4,93.14,3,2,1,2013
2013-01-02,17,24,226.374,0,4,93.14,3,2,1,2013
2013-01-02,17,30,0.0,0,4,93.14,3,2,1,2013
2013-01-02,20,3,0.0,0,4,93.14,3,2,1,2013
2013-01-02,20,5,0.0,0,4,93.14,3,2,1,2013
2013-01-02,20,10,0.0,0,4,93.14,3,2,1,2013
2013-01-02,20,24,0.0,0,4,93.14,3,2,1,2013
2013-01-02,20,30,0.0,0,4,93.14,3,2,1,2013
2013-01-02,27,3,1540.0,0,4,93.14,3,2,1,2013
2013-01-02,27,5,524.026,0,4,93.14,3,2,1,2013
2013-01-02,27,10,267.0,0,4,93.14,3,2,1,2013
2013-01-02,27,24,214.951,0,4,93.14,3,2,1,2013
2013-01-02,27,30,0.0,0,4,93.14,3,2,1,2013
2013-01-02,8,3,2424.0,0,4,93.14,3,2,1,2013
2013-01-02,8,5,768.05,0,4,93.14,3,2,1,2013
2013-01-02,8,10,450.0,0,4,93.14,3,2,1,2013
2013-01-02,8,24,630.4,0,4,93.14,3,2,1,2013
2013-01-02,8,30,0.0,0,4,93.14,3,2,1,2013
2013-01-03,1,3,919.0,0,4,92.97,4,3,1,2013
2013-01-03,1,5,310.655,0,4,92.97,4,3,1,2013
2013-01-03,1,10,203.0,0,4,92.97,4,3,1,2013
2013-01-03,1,24,272.319,0,4,92.97,4,3,1,2013
2013-01-03,1,30,0.0,0,4,92.97,4,3,1,2013
2013-01-03,17,3,817.0,0,4,92.97,4,3,1,2013
2013-01-03,17,5,197.0,0,4,92.97,4,3,1,2013
2013-01-03,17,10,81.0,0,4,92.97,4,3,1,2013
2013-01-03,17,24,119.441,0,4,92.97,4,3,1,2013
2013-01-03,17,30,0.0,0,4,92.97,4,3,1,2013
2013-01-03,20,3,0.0,0,4,92.97,4,3,1,2013
2013-01-03,20,5,0.0,0,4,92.97,4,3,1,2013
2013-01-03,20,10,0.0,0,4,92.97,4,3,1,2013
2013-01-03,20,24,0.0,0,4,92.97,4,3,1,2013
2013-01-03,20,30,0.0,0,4,92.97,4,3,1,2013
2013-01-03,27,3,914.0,0,4,92.97,4,3,1,2013
2013-01-03,27,5,335.574,0,4,92.97,4,3,1,2013
2013-01-03,27,10,164.0,0,4,92.97,4,3,1,2013
2013-01-03,27,24,147.005,0,4,92.97,4,3,1,2013
2013-01-03,27,30,0.0,0,4,92.97,4,3,1,2013
2013-01-03,8,3,1985.0,0,4,92.97,4,3,1,2013
2013-01-03,8,5,568.395,0,4,92.97,4,3,1,2013
2013-01-03,8,10,326.0,0,4,92.97,4,3,1,2013
2013-01-03,8,24,554.311,0,4,92.97,4,3,1,2013
2013-01-03,8,30,0.0,0,4,92.97,4,3,1,2013
2013-01-04,1,3,953.0,0,4,93.12,5,4,1,2013
2013-01-04,1,5,198.366,0,4,93.12,5,4,1,2013
2013-01-04,1,10,171.0,0,4,93.12,5,4,1,2013
2013-01-04,1,24,454.172,0,4,93.12,5,4,1,2013
2013-01-04,1,30,0.0,0,4,93.12,5,4,1,2013
2013-01-04,17,3,1106.0,0,4,93.12,5,4,1,2013
2013-01-04,17,5,114.0,0,4,93.12,5,4,1,2013
2013-01-04,17,10,57.0,0,4,93.12,5,4,1,2013
2013-01-04,17,24,273.56,0,4,93.12,5,4,1,2013
2013-01-04,17,30,0.0,0,4,93.12,5,4,1,2013
2013-01-04,20,3,0.0,0,4,93.12,5,4,1,2013
2013-01-04,20,5,0.0,0,4,93.12,5,4,1,2013
2013-01-04,20,10,0.0,0,4,93.12,5,4,1,2013
2013-01-04,20,24,0.0,0,4,93.12,5,4,1,2013
2013-01-04,20,30,0.0,0,4,93.12,5,4,1,2013
2013-01-04,27,3,949.0,0,4,93.12,5,4,1,2013
2013-01-04,27,5,324.08,0,4,93.12,5,4,1,2013
2013-01-04,27,10,136.0,0,4,93.12,5,4,1,2013
2013-01-04,27,24,149.359,0,4,93.12,5,4,1,2013
2013-01-04,27,30,0.0,0,4,93.12,5,4,1,2013
2013-01-04,8,3,1803.0,0,4,93.12,5,4,1,2013
2013-01-04,8,5,512.527,0,4,93.12,5,4,1,2013
2013-01-04,8,10,356.0,0,4,93.12,5,4,1,2013
2013-01-04,8,24,1170.334,0,4,93.12,5,4,1,2013
2013-01-04,8,30,0.0,0,4,93.12,5,4,1,2013
2013-01-05,1,3,1160.0,0,4,93.12008976157084,6,5,1,2013
2013-01-05,1,5,301.057,0,4,93.12013464235623,6,5,1,2013
2013-01-05,1,10,177.0,0,4,93.12024684431978,6,5,1,2013
2013-01-05,1,24,328.94,0,4,93.12056100981768,6,5,1,2013
2013-01-05,1,30,0.0,0,4,93.12069565217392,6,5,1,2013
2013-01-05,17,3,2086.0,0,4,93.12601402524544,6,5,1,2013
2013-01-05,17,5,134.0,0,4,93.12605890603086,6,5,1,2013
2013-01-05,17,10,92.0,0,4,93.1261711079944,6,5,1,2013
2013-01-05,17,24,253.462,0,4,93.12648527349228,6,5,1,2013
2013-01-05,17,30,0.0,0,4,93.12661991584854,6,5,1,2013
2013-01-05,20,3,0.0,0,4,93.12897615708276,6,5,1,2013
2013-01-05,20,5,0.0,0,4,93.12902103786816,6,5,1,2013
2013-01-05,20,10,0.0,0,4,93.1291332398317,6,5,1,2013
2013-01-05,20,24,0.0,0,4,93.1294474053296,6,5,1,2013
2013-01-05,20,30,0.0,0,4,93.12958204768584,6,5,1,2013
2013-01-05,27,3,1478.0,0,4,93.13415988779803,6,5,1,2013
2013-01-05,27,5,459.41602,0,4,93.13420476858346,6,5,1,2013
2013-01-05,27,10,191.0,0,4,93.134316970547,6,5,1,2013
2013-01-05,27,24,224.511,0,4,93.13463113604487,6,5,1,2013
2013-01-05,27,30,0.0,0,4,93.13476577840112,6,5,1,2013
2013-01-05,8,3,2968.0,0,4,93.15859747545582,6,5,1,2013
2013-01-05,8,5,731.277,0,4,93.15864235624124,6,5,1,2013
2013-01-05,8,10,434.0,0,4,93.15875455820478,6,5,1,2013
2013-01-05,8,24,608.86,0,4,93.15906872370267,6,5,1,2013
2013-01-05,8,30,0.0,0,4,93.1592033660589,6,5,1,2013
2013-01-06,1,3,407.0,0,4,93.16007854137447,7,6,1,2013
2013-01-06,1,5,147.182,0,4,93.16012342215988,7,6,1,2013
2013-01-06,1,10,85.0,0,4,93.16023562412344,7,6,1,2013
2013-01-06,1,24,113.282,0,4,93.16054978962131,7,6,1,2013
2013-01-06,1,30,0.0,0,4,93.16068443197756,7,6,1,2013
2013-01-06,17,3,1476.0,0,4,93.16600280504908,7,6,1,2013
2013-01-06,17,5,254.0,0,4,93.1660476858345,7,6,1,2013
2013-01-06,17,10,113.0,0,4,93.16615988779805,7,6,1,2013
2013-01-06,17,24,172.269,0,4,93.16647405329594,7,6,1,2013
2013-01-06,17,30,0.0,0,4,93.16660869565216,7,6,1,2013
2013-01-06,20,3,0.0,0,4,93.1689649368864,7,6,1,2013
2013-01-06,20,5,0.0,0,4,93.1690098176718,7,6,1,2013
2013-01-06,20,10,0.0,0,4,93.16912201963537,7,6,1,2013
2013-01-06,20,24,0.0,0,4,93.16943618513324,7,6,1,2013
2013-01-06,20,30,0.0,0,4,93.16957082748948,7,6,1,2013
2013-01-06,27,3,1878.0,0,4,93.17414866760168,7,6,1,2013
2013-01-06,27,5,760.421,0,4,93.1741935483871,7,6,1,2013
2013-01-06,27,10,259.0,0,4,93.17430575035064,7,6,1,2013
2013-01-06,27,24,240.193,0,4,93.17461991584852,7,6,1,2013
2013-01-06,27,30,0.0,0,4,93.17475455820475,7,6,1,2013
2013-01-06,8,3,3180.0,0,4,93.19858625525949,7,6,1,2013
2013-01-06,8,5,753.96,0,4,93.19863113604488,7,6,1,2013
2013-01-06,8,10,450.0,0,4,93.1987433380084,7,6,1,2013
2013-01-06,8,24,554.659,0,4,93.19905750350632,7,6,1,2013
2013-01-06,8,30,0.0,0,4,93.19919214586255,7,6,1,2013
2013-01-07,1,3,1158.0,0,4,93.2,1,7,1,2013
2013-01-07,1,5,309.676,0,4,93.2,1,7,1,2013
2013-01-07,1,10,157.0,0,4,93.2,1,7,1,2013
2013-01-07,1,24,266.72,0,4,93.2,1,7,1,2013
2013-01-07,1,30,0.0,0,4,93.2,1,7,1,2013
2013-01-07,17,3,1024.0,0,4,93.2,1,7,1,2013
2013-01-07,17,5,211.0,0,4,93.2,1,7,1,2013
2013-01-07,17,10,73.0,0,4,93.2,1,7,1,2013
2013-01-07,17,24,250.659,0,4,93.2,1,7,1,2013
2013-01-07,17,30,0.0,0,4,93.2,1,7,1,2013
2013-01-07,20,3,0.0,0,4,93.2,1,7,1,2013
2013-01-07,20,5,0.0,0,4,93.2,1,7,1,2013
2013-01-07,20,10,0.0,0,4,93.2,1,7,1,2013
2013-01-07,20,24,0.0,0,4,93.2,1,7,1,2013
2013-01-07,20,30,0.0,0,4,93.2,1,7,1,2013
2013-01-07,27,3,847.0,0,4,93.2,1,7,1,2013
2013-01-07,27,5,446.061,0,4,93.2,1,7,1,2013
2013-01-07,27,10,169.0,0,4,93.2,1,7,1,2013
2013-01-07,27,24,129.277,0,4,93.2,1,7,1,2013
2013-01-07,27,30,0.0,0,4,93.2,1,7,1,2013
2013-01-07,8,3,1700.0,0,4,93.2,1,7,1,2013
2013-01-07,8,5,426.43,0,4,93.2,1,7,1,2013
2013-01-07,8,10,265.0,0,4,93.2,1,7,1,2013
2013-01-07,8,24,463.98,0,4,93.2,1,7,1,2013
2013-01-07,8,30,0.0,0,4,93.2,1,7,1,2013
2013-01-08,1,3,1029.0,0,4,93.21,2,8,1,2013
2013-01-08,1,5,321.851,0,4,93.21,2,8,1,2013
2013-01-08,1,10,150.0,0,4,93.21,2,8,1,2013
2013-01-08,1,24,393.51,0,4,93.21,2,8,1,2013
2013-01-08,1,30,0.0,0,4,93.21,2,8,1,2013
2013-01-08,17,3,969.0,0,4,93.21,2,8,1,2013
2013-01-08,17,5,219.0,0,4,93.21,2,8,1,2013
2013-01-08,17,10,55.0,0,4,93.21,2,8,1,2013
2013-01-08,17,24,197.517,0,4,93.21,2,8,1,2013
2013-01-08,17,30,0.0,0,4,93.21,2,8,1,2013
2013-01-08,20,3,0.0,0,4,93.21,2,8,1,2013
