date,family,sales,onpromotion,typeholiday,dcoilwtico,day,month,year
2016-09-13,BEVERAGES,1942.0,0,NDay,44.91,13,9,2016
2016-09-13,DAIRY,703.0,0,NDay,44.91,13,9,2016
2016-09-13,FROZEN FOODS,95.0,0,NDay,44.91,13,9,2016
2016-09-13,MEATS,288.823,0,NDay,44.91,13,9,2016
2016-09-13,SEAFOOD,34.034,0,NDay,44.91,13,9,2016
2016-09-14,BEVERAGES,1992.0,6,NDay,43.62,14,9,2016
2016-09-14,DAIRY,773.0,5,NDay,43.62,14,9,2016
2016-09-14,FROZEN FOODS,84.0,0,NDay,43.62,14,9,2016
2016-09-14,MEATS,254.219,0,NDay,43.62,14,9,2016
2016-09-14,SEAFOOD,26.5,1,NDay,43.62,14,9,2016
2016-09-15,BEVERAGES,1766.0,44,NDay,43.85,15,9,2016
2016-09-15,DAIRY,674.0,3,NDay,43.85,15,9,2016
2016-09-15,FROZEN FOODS,88.0,0,NDay,43.85,15,9,2016
2016-09-15,MEATS,204.803,0,NDay,43.85,15,9,2016
2016-09-15,SEAFOOD,18.231,0,NDay,43.85,15,9,2016
2016-09-16,BEVERAGES,2414.0,46,NDay,43.04,16,9,2016
2016-09-16,DAIRY,834.0,0,NDay,43.04,16,9,2016
2016-09-16,FROZEN FOODS,112.0,0,NDay,43.04,16,9,2016
2016-09-16,MEATS,724.147,51,NDay,43.04,16,9,2016
2016-09-16,SEAFOOD,36.321,5,NDay,43.04,16,9,2016
2016-09-17,BEVERAGES,2521.0,54,NDay,43.0403366058906,17,9,2016
2016-09-17,DAIRY,789.0,0,NDay,43.04075736325385,17,9,2016
2016-09-17,FROZEN FOODS,139.82,0,NDay,43.04100981767181,17,9,2016
2016-09-17,MEATS,233.5,0,NDay,43.04210378681627,17,9,2016
2016-09-17,SEAFOOD,40.02,1,NDay,43.042776998597475,17,9,2016
2016-09-18,BEVERAGES,1177.0,40,NDay,43.190294530154276,18,9,2016
2016-09-18,DAIRY,419.0,0,NDay,43.190715287517534,18,9,2016
2016-09-18,FROZEN FOODS,48.0,0,NDay,43.19096774193549,18,9,2016
2016-09-18,MEATS,112.115,0,NDay,43.192061711079944,18,9,2016
2016-09-18,SEAFOOD,12.328,1,NDay,43.19273492286115,18,9,2016
2016-09-19,BEVERAGES,2342.0,48,NDay,43.34,19,9,2016
2016-09-19,DAIRY,751.0,3,NDay,43.34,19,9,2016
2016-09-19,FROZEN FOODS,67.0,0,NDay,43.34,19,9,2016
2016-09-19,MEATS,282.831,0,NDay,43.34,19,9,2016
2016-09-19,SEAFOOD,26.684,1,NDay,43.34,19,9,2016
2016-09-20,BEVERAGES,2194.0,54,NDay,43.85,20,9,2016
2016-09-20,DAIRY,758.0,3,NDay,43.85,20,9,2016
2016-09-20,FROZEN FOODS,96.0,0,NDay,43.85,20,9,2016
2016-09-20,MEATS,258.68,0,NDay,43.85,20,9,2016
2016-09-20,SEAFOOD,25.748,1,NDay,43.85,20,9,2016
2016-09-21,BEVERAGES,2159.0,57,NDay,45.33,21,9,2016
2016-09-21,DAIRY,895.0,3,NDay,45.33,21,9,2016
2016-09-21,FROZEN FOODS,114.0,0,NDay,45.33,21,9,2016
2016-09-21,MEATS,253.481,0,NDay,45.33,21,9,2016
2016-09-21,SEAFOOD,26.664,1,NDay,45.33,21,9,2016
2016-09-22,BEVERAGES,1883.0,50,NDay,46.1,22,9,2016
2016-09-22,DAIRY,623.0,1,NDay,46.1,22,9,2016
2016-09-22,FROZEN FOODS,108.379,1,NDay,46.1,22,9,2016
2016-09-22,MEATS,199.218,0,NDay,46.1,22,9,2016
2016-09-22,SEAFOOD,23.583,1,NDay,46.1,22,9,2016
2016-09-23,BEVERAGES,2269.0,53,NDay,44.36,23,9,2016
2016-09-23,DAIRY,737.0,3,NDay,44.36,23,9,2016
2016-09-23,FROZEN FOODS,174.0,1,NDay,44.36,23,9,2016
2016-09-23,MEATS,577.377,47,NDay,44.36,23,9,2016
2016-09-23,SEAFOOD,44.574,6,NDay,44.36,23,9,2016
2016-09-24,BEVERAGES,2340.0,58,NDay,44.361391304347826,24,9,2016
2016-09-24,DAIRY,793.0,3,NDay,44.36313043478261,24,9,2016
2016-09-24,FROZEN FOODS,134.0,1,NDay,44.36417391304348,24,9,2016
2016-09-24,MEATS,271.557,0,NDay,44.36869565217391,24,9,2016
2016-09-24,SEAFOOD,25.258,1,NDay,44.371478260869566,24,9,2016
2016-09-25,BEVERAGES,1121.0,42,NDay,44.98121739130435,25,9,2016
2016-09-25,DAIRY,382.0,2,NDay,44.98295652173913,25,9,2016
2016-09-25,FROZEN FOODS,32.0,1,NDay,44.984,25,9,2016
2016-09-25,MEATS,87.288,0,NDay,44.988521739130434,25,9,2016
2016-09-25,SEAFOOD,20.311,1,NDay,44.99130434782609,25,9,2016
2016-09-26,BEVERAGES,1957.0,56,NDay,45.6,26,9,2016
2016-09-26,DAIRY,750.0,4,NDay,45.6,26,9,2016
2016-09-26,FROZEN FOODS,73.0,3,NDay,45.6,26,9,2016
2016-09-26,MEATS,184.852,0,NDay,45.6,26,9,2016
2016-09-26,SEAFOOD,17.84,1,NDay,45.6,26,9,2016
2016-09-27,BEVERAGES,2009.0,55,NDay,44.65,27,9,2016
2016-09-27,DAIRY,665.0,4,NDay,44.65,27,9,2016
2016-09-27,FROZEN FOODS,88.454,3,NDay,44.65,27,9,2016
2016-09-27,MEATS,226.355,0,NDay,44.65,27,9,2016
2016-09-27,SEAFOOD,13.471,1,NDay,44.65,27,9,2016
2016-09-28,BEVERAGES,2379.0,51,Holiday,47.07,28,9,2016
2016-09-28,DAIRY,932.0,3,Holiday,47.07,28,9,2016
2016-09-28,FROZEN FOODS,95.0,1,Holiday,47.07,28,9,2016
2016-09-28,MEATS,273.975,0,Holiday,47.07,28,9,2016
2016-09-28,SEAFOOD,26.902,0,Holiday,47.07,28,9,2016
2016-09-29,BEVERAGES,1805.0,53,NDay,47.72,29,9,2016
2016-09-29,DAIRY,539.0,2,NDay,47.72,29,9,2016
2016-09-29,FROZEN FOODS,81.0,3,NDay,47.72,29,9,2016
2016-09-29,MEATS,185.05501,0,NDay,47.72,29,9,2016
2016-09-29,SEAFOOD,26.132,0,NDay,47.72,29,9,2016
2016-09-30,BEVERAGES,2028.0,54,NDay,47.72,30,9,2016
2016-09-30,DAIRY,740.0,4,NDay,47.72,30,9,2016
2016-09-30,FROZEN FOODS,105.0,1,NDay,47.72,30,9,2016
2016-09-30,MEATS,571.232,45,NDay,47.72,30,9,2016
2016-09-30,SEAFOOD,30.914999,6,NDay,47.72,30,9,2016
2016-10-01,BEVERAGES,2799.0,55,NDay,47.72121178120617,1,10,2016
2016-10-01,DAIRY,1004.0,5,NDay,47.72272650771389,1,10,2016
2016-10-01,FROZEN FOODS,132.0,2,NDay,47.72363534361851,1,10,2016
2016-10-01,MEATS,292.338,0,NDay,47.727573632538565,1,10,2016
2016-10-01,SEAFOOD,43.828,0,NDay,47.72999719495091,1,10,2016
2016-10-02,BEVERAGES,1277.0,43,NDay,48.2610603085554,2,10,2016
2016-10-02,DAIRY,416.0,4,NDay,48.262575035063115,2,10,2016
2016-10-02,FROZEN FOODS,58.333,2,NDay,48.26348387096774,2,10,2016
2016-10-02,MEATS,126.773,0,NDay,48.26742215988779,2,10,2016
2016-10-02,SEAFOOD,20.356,0,NDay,48.26984572230014,2,10,2016
2016-10-03,BEVERAGES,2762.0,55,NDay,48.8,3,10,2016
2016-10-03,DAIRY,835.0,4,NDay,48.8,3,10,2016
2016-10-03,FROZEN FOODS,96.0,2,NDay,48.8,3,10,2016
2016-10-03,MEATS,271.103,1,NDay,48.8,3,10,2016
2016-10-03,SEAFOOD,25.098,0,NDay,48.8,3,10,2016
2016-10-04,BEVERAGES,2624.0,51,NDay,48.67,4,10,2016
2016-10-04,DAIRY,806.0,3,NDay,48.67,4,10,2016
2016-10-04,FROZEN FOODS,107.0,3,NDay,48.67,4,10,2016
2016-10-04,MEATS,302.542,0,NDay,48.67,4,10,2016
2016-10-04,SEAFOOD,20.287,0,NDay,48.67,4,10,2016
2016-10-05,BEVERAGES,2573.0,54,NDay,49.75,5,10,2016
2016-10-05,DAIRY,924.0,4,NDay,49.75,5,10,2016
2016-10-05,FROZEN FOODS,98.234,2,NDay,49.75,5,10,2016
2016-10-05,MEATS,225.917,0,NDay,49.75,5,10,2016
2016-10-05,SEAFOOD,26.363,1,NDay,49.75,5,10,2016
2016-10-06,BEVERAGES,2342.0,4,NDay,50.44,6,10,2016
2016-10-06,DAIRY,691.0,9,NDay,50.44,6,10,2016
2016-10-06,FROZEN FOODS,115.0,3,NDay,50.44,6,10,2016
2016-10-06,MEATS,252.93,0,NDay,50.44,6,10,2016
